ASIN,TITLE,DESCRIPTION,PRICE,CATEGORIES,URL
'5555991584,Memory of Trees,NULL,9.49,CDs & Vinyl New Age Celtic New Age CDs & Vinyl New Age Meditation CDs & Vinyl Pop CDs & Vinyl Rock Digital Music New Age Celtic New Age,http://ecx.images-amazon.com/images/I/51b5WDjdhPL._SX300_.jpg
'6308051551,Don't Drink His Blood,NEW Combo BLUWAVS CD and FLAC FILE,8.91,Digital Music Alternative Rock Indie & Lo-Fi,http://ecx.images-amazon.com/images/I/31LT2n7QxML.jpg
'7901622466,On Fire,NULL,11.33,CDs & Vinyl Christian Rock & Alternative CDs & Vinyl Rock Digital Music Hard Rock & Metal Hard Rock,http://ecx.images-amazon.com/images/I/21W29WZwDAL._SL500_.jpg
'B0000000ZW,Changing Faces,,23.64,CDs & Vinyl Dance & Electronic CDs & Vinyl Pop Dance Pop CDs & Vinyl R&B Soul Digital Music R&B Soul,http://ecx.images-amazon.com/images/I/51H3Bp-3XwL._SX300_.jpg
'B00000016W,Pet Sounds,NULL,9.49,CDs & Vinyl Classic Rock CDs & Vinyl Pop Oldies Baroque Pop CDs & Vinyl Rock Digital Music Alternative Rock Indie & Lo-Fi,http://ecx.images-amazon.com/images/I/51pDGkXjAVL._SX300_.jpg
'B00000016T,Cars,NULL,14.63,CDs & Vinyl Alternative Rock New Wave & Post-Punk New Wave CDs & Vinyl Classic Rock Album-Oriented Rock (AOR) CDs & Vinyl Pop CDs & Vinyl Rock Digital Music Alternative Rock New Wave & Post-Punk,http://ecx.images-amazon.com/images/I/51pmW%2BDM7tL._SX300_.jpg
'B0000001BA,Harry,"A 1969 collection of songs about innocence experience urban life and nostalgia this album is marked by Nilsson's unique combination of whimsy melody and exuberant vocal flights tempered by a subtle edge. ""The Puppy Song"" which gained late-'90s currency in thesoundtrackto the romantic comedyYou've Got Mail; ""I Guess the Lord Must Be in New York City""; and ""Open Your Window"" define the phrase ""bursting with optimism"" while shadows hang over ""Mournin' Glory Story"" (an early song about homelessness) and even the wistful bonus track ""I Will Take You There.""Harryis an intriguing item from the singer's pre-Nilsson Schmilssonperiod.--Rickey Wright",9.99,CDs & Vinyl Folk Contemporary Folk CDs & Vinyl Jazz CDs & Vinyl Pop Oldies Baroque Pop CDs & Vinyl Pop Singer-Songwriters CDs & Vinyl Pop Vocal Pop CDs & Vinyl Rock Digital Music Pop,http://ecx.images-amazon.com/images/I/31E7012J6PL.jpg
'B00000017R,Jazz Samba,NULL,8.99,CDs & Vinyl Jazz Bebop CDs & Vinyl Jazz Brazilian Jazz CDs & Vinyl Jazz Cool Jazz CDs & Vinyl Jazz Latin Jazz CDs & Vinyl Jazz Modern Postbebop CDs & Vinyl Latin Music Samba CDs & Vinyl Pop CDs & Vinyl World Music South & Central America Brazil Bossa Nova Digital Music Jazz Latin Jazz Digital Music Latin Music Samba,http://ecx.images-amazon.com/images/I/51kAU0TyvBL._SX300_.jpg
'B0000001BO,Solar Heat,NULL,8.99,CDs & Vinyl Jazz Bebop CDs & Vinyl Jazz Cool Jazz CDs & Vinyl Jazz Latin Jazz CDs & Vinyl Jazz Modern Postbebop CDs & Vinyl Latin Music Latin Pop CDs & Vinyl Pop CDs & Vinyl World Music Caribbean & Cuba Cuba Digital Music Jazz Latin Jazz,http://ecx.images-amazon.com/images/I/41T7W2YVV8L._SX300_.jpg
'B0000001O0,Soulero,Soulero by Kenny BurrellThis product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.,14.98,CDs & Vinyl Jazz Bebop CDs & Vinyl Jazz Soul-Jazz & Boogaloo CDs & Vinyl Pop Digital Music Jazz Soul-Jazz & Boogaloo,http://ecx.images-amazon.com/images/I/41fxJ2B6yML._SY300_.jpg
'B0000001PS,Browne Sugar,NULL,7.92,CDs & Vinyl Jazz Smooth Jazz CDs & Vinyl Pop CDs & Vinyl R&B Funk Digital Music R&B Funk,http://ecx.images-amazon.com/images/I/41XSB0A3YYL._SX300_.jpg
'B0000001Q8,Live at the Blue Note,NULL,8.99,CDs & Vinyl Jazz Latin Jazz CDs & Vinyl Jazz Smooth Jazz CDs & Vinyl Latin Music Latin Pop CDs & Vinyl Pop CDs & Vinyl World Music Caribbean & Cuba Cuba Digital Music Jazz Latin Jazz,http://ecx.images-amazon.com/images/I/21EMD2QFZ4L.jpg
'B0000001SH,Ivory Pyramid,Ivory Pyramid by Ramsey LewisThis product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.,13.98,CDs & Vinyl Jazz Smooth Jazz CDs & Vinyl Jazz Soul-Jazz & Boogaloo CDs & Vinyl Pop Digital Music Jazz Soul-Jazz & Boogaloo,http://ecx.images-amazon.com/images/I/51ZQhBqNlAL._SY300_.jpg
